source_file,scheme,metric,households,simulations,cache_mode,total_us,total_s,avg_us,avg_ms,count,cipher_bytes
bfv_h500_s1000_cold.log,BFV,H_encrypt_X_i,500,1000,cold,1292760607.0,1292.760607,2585.521,2.5855210000000004,500000.0,526449
bfv_h500_s1000_cold.log,BFV,H_plan_compute,500,1000,cold,29181188.0,29.181188,20.16,0.02016,1447500.0,0
bfv_h500_s1000_cold.log,BFV,H_accept_compute,500,1000,cold,74690.0,0.07469,0.088,8.8e-05,852016.0,0
bfv_h500_s1000_cold.log,BFV,H_encrypt_delta_i,500,1000,cold,2201838648.0,2201.838648,2584.269,2.584269,852016.0,526449
bfv_h500_s1000_cold.log,BFV,H_total_household_side,500,1000,cold,3529619874.0,3529.619874,3529619.874,3529.619874,1000.0,526449
bfv_h500_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,500,1000,cold,65545.0,0.065545,65.545,0.065545,1000.0,526449
bfv_h500_s1000_cold.log,BFV,B_add_X_remaining,500,1000,cold,27910373.0,27.910373,55.933,0.055933,499000.0,526449
bfv_h500_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,500,1000,cold,190699.0,0.190699,65.872,0.065872,2895.0,526449
bfv_h500_s1000_cold.log,BFV,B_add_delta_remaining,500,1000,cold,47543746.0,47.543746,55.992,0.055992,849121.0,526449
bfv_h500_s1000_cold.log,BFV,B_total_aggregation,500,1000,cold,75710363.0,75.710363,75710.363,75.710363,1000.0,526449
bfv_h500_s1000_cold.log,BFV,C_decrypt_X,500,1000,cold,1032955.0,1.032955,1032.955,1.0329549999999998,1000.0,0
bfv_h500_s1000_cold.log,BFV,C_decrypt_delta,500,1000,cold,2980198.0,2.980198,1029.429,1.0294290000000001,2895.0,0
bfv_h500_s1000_cold.log,BFV,C_control_logic_until_convergence,500,1000,cold,33923.0,0.033923,11.718,0.011718,2895.0,0
bfv_h500_s1000_cold.log,BFV,C_total_decrypt_plus_control,500,1000,cold,4047076.0,4.047076,4047.076,4.047076,1000.0,0
bfv_h500_s1000_cold.log,BFV,SIM_total_measured_H_B_C,500,1000,cold,3609377313.0,3609.377313,3609377.313,3609.377313,1000.0,526449
bfv_h500_s1000_cold.log,SUMMARY,total_iterations,500,1000,cold,2895.0,0.002895,2.895,0.002895,1000.0,0
bfv_h500_s1000_cold.log,SUMMARY,accepted_delta_count,500,1000,cold,852016.0,0.852016,852.016,0.852016,1000.0,0
bfv_h50_s1000_cold.log,BFV,H_initial_device_planning,50,1000,cold,623254.0,0.623254,12.465,0.012465,50000.0,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_X_i,50,1000,cold,130074695.0,130.074695,2601.494,2.601494,50000.0,526449
bfv_h50_s1000_cold.log,BFV,H_plan_compute,50,1000,cold,4776033.0,4.776033,22.245,0.022245,214700.0,0
bfv_h50_s1000_cold.log,BFV,H_accept_compute,50,1000,cold,3503.0,0.003503,0.04,4e-05,88029.0,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_delta_i,50,1000,cold,227788633.0,227.788633,2587.654,2.587654,88029.0,526449
bfv_h50_s1000_cold.log,BFV,H_total_household_side,50,1000,cold,363266118.0,363.266118,363266.118,363.266118,1000.0,526449
bfv_h50_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,50,1000,cold,65739.0,0.065739,65.739,0.065739,1000.0,526449
bfv_h50_s1000_cold.log,BFV,B_add_X_remaining,50,1000,cold,2721951.0,2.721951,55.55,0.055549999999999995,49000.0,526449
bfv_h50_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,50,1000,cold,155994.0,0.155994,36.328,0.036328000000000006,4294.0,526449
bfv_h50_s1000_cold.log,BFV,B_add_delta_remaining,50,1000,cold,4516195.0,4.516195,53.934,0.053933999999999996,83735.0,526449
bfv_h50_s1000_cold.log,BFV,B_total_aggregation,50,1000,cold,7459879.0,7.459879,7459.879,7.459879,1000.0,526449
bfv_h50_s1000_cold.log,BFV,C_decrypt_X,50,1000,cold,1033115.0,1.033115,1033.115,1.033115,1000.0,0
bfv_h50_s1000_cold.log,BFV,C_decrypt_delta,50,1000,cold,4350552.0,4.350552,1013.17,1.01317,4294.0,0
bfv_h50_s1000_cold.log,BFV,C_control_logic_until_convergence,50,1000,cold,3299.0,0.003299,0.768,0.000768,4294.0,0
bfv_h50_s1000_cold.log,BFV,C_total_decrypt_plus_control,50,1000,cold,5386966.0,5.386966,5386.966,5.386966,1000.0,0
bfv_h50_s1000_cold.log,BFV,SIM_total_measured_H_B_C,50,1000,cold,376112963.0,376.112963,376112.963,376.112963,1000.0,526449
bfv_h50_s1000_cold.log,SUMMARY,total_iterations,50,1000,cold,4294.0,0.004294,4.294,0.004293999999999999,1000.0,0
bfv_h50_s1000_cold.log,SUMMARY,accepted_delta_count,50,1000,cold,88029.0,0.088029,88.029,0.088029,1000.0,0
ckks_h1000_s1000_cold.log,CKKS,H_initial_device_planning,1000,1000,cold,11610036.0,11.610036,11.61,0.011609999999999999,1000000.0,0
ckks_h1000_s1000_cold.log,CKKS,H_encrypt_X_i,1000,1000,cold,3053404310.0,3053.40431,3053.404,3.053404,1000000.0,394865
ckks_h1000_s1000_cold.log,CKKS,H_plan_compute,1000,1000,cold,52232397.0,52.232397,19.042,0.019042,2743000.0,0
ckks_h1000_s1000_cold.log,CKKS,H_accept_compute,1000,1000,cold,81097.0,0.081097,0.048,4.8e-05,1673262.0,0
ckks_h1000_s1000_cold.log,CKKS,H_encrypt_delta_i,1000,1000,cold,5102288466.0,5102.288466,3049.306,3.049306,1673262.0,394865
ckks_h1000_s1000_cold.log,CKKS,H_total_household_side,1000,1000,cold,8219616306.0,8219.616306,8219616.306,8219.616306,1000.0,394865
ckks_h1000_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,1000,1000,cold,42190.0,0.04219,42.19,0.04219,1000.0,394865
ckks_h1000_s1000_cold.log,CKKS,B_add_X_remaining,1000,1000,cold,41971869.0,41.971869,42.014,0.042014,999000.0,394865
ckks_h1000_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,1000,1000,cold,109664.0,0.109664,39.98,0.039979999999999995,2743.0,394865
ckks_h1000_s1000_cold.log,CKKS,B_add_delta_remaining,1000,1000,cold,70776722.0,70.776722,42.368,0.042368,1670519.0,394865
ckks_h1000_s1000_cold.log,CKKS,B_total_aggregation,1000,1000,cold,112900445.0,112.900445,112900.445,112.900445,1000.0,394865
ckks_h1000_s1000_cold.log,CKKS,C_decrypt_X,1000,1000,cold,889382.0,0.889382,889.382,0.8893819999999999,1000.0,0
ckks_h1000_s1000_cold.log,CKKS,C_decrypt_delta,1000,1000,cold,2433960.0,2.43396,887.335,0.887335,2743.0,0
ckks_h1000_s1000_cold.log,CKKS,C_control_logic_until_convergence,1000,1000,cold,61927.0,0.061927,22.576,0.022576,2743.0,0
ckks_h1000_s1000_cold.log,CKKS,C_total_decrypt_plus_control,1000,1000,cold,3385269.0,3.385269,3385.269,3.3852689999999996,1000.0,0
ckks_h1000_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,1000,1000,cold,8335902020.0,8335.90202,8335902.02,8335.90202,1000.0,394865
ckks_h1000_s1000_cold.log,SUMMARY,total_iterations,1000,1000,cold,2743.0,0.002743,2.743,0.0027429999999999998,1000.0,0
ckks_h1000_s1000_cold.log,SUMMARY,accepted_delta_count,1000,1000,cold,1673262.0,1.673262,1673.262,1.673262,1000.0,0
ckks_h100_s1000_cold.log,CKKS,H_initial_device_planning,100,1000,cold,1196133.0,1.196133,11.961,0.011961000000000001,100000.0,0
ckks_h100_s1000_cold.log,CKKS,H_encrypt_X_i,100,1000,cold,306092034.0,306.092034,3060.92,3.06092,100000.0,394865
ckks_h100_s1000_cold.log,CKKS,H_plan_compute,100,1000,cold,7096155.0,7.096155,20.444,0.020444,347100.0,0
ckks_h100_s1000_cold.log,CKKS,H_accept_compute,100,1000,cold,10628.0,0.010628,0.062,6.2e-05,172339.0,0
ckks_h100_s1000_cold.log,CKKS,H_encrypt_delta_i,100,1000,cold,526328194.0,526.328194,3054.028,3.0540279999999997,172339.0,394865
ckks_h100_s1000_cold.log,CKKS,H_total_household_side,100,1000,cold,840723144.0,840.723144,840723.144,840.7231439999999,1000.0,394865
ckks_h100_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,100,1000,cold,43345.0,0.043345,43.345,0.043345,1000.0,394865
ckks_h100_s1000_cold.log,CKKS,B_add_X_remaining,100,1000,cold,4123795.0,4.123795,41.654,0.041654000000000004,99000.0,394865
ckks_h100_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,100,1000,cold,107851.0,0.107851,31.072,0.031072,3471.0,394865
ckks_h100_s1000_cold.log,CKKS,B_add_delta_remaining,100,1000,cold,6952558.0,6.952558,41.172,0.041172,168868.0,394865
ckks_h100_s1000_cold.log,CKKS,B_total_aggregation,100,1000,cold,11227549.0,11.227549,11227.549,11.227549000000002,1000.0,394865
ckks_h100_s1000_cold.log,CKKS,C_decrypt_X,100,1000,cold,874779.0,0.874779,874.779,0.874779,1000.0,0
ckks_h100_s1000_cold.log,CKKS,C_decrypt_delta,100,1000,cold,3022511.0,3.022511,870.79,0.87079,3471.0,0
ckks_h100_s1000_cold.log,CKKS,C_control_logic_until_convergence,100,1000,cold,6164.0,0.006164,1.776,0.001776,3471.0,0
ckks_h100_s1000_cold.log,CKKS,C_total_decrypt_plus_control,100,1000,cold,3903454.0,3.903454,3903.454,3.903454,1000.0,0
ckks_h100_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,100,1000,cold,855854147.0,855.854147,855854.147,855.854147,1000.0,394865
ckks_h100_s1000_cold.log,SUMMARY,total_iterations,100,1000,cold,3471.0,0.003471,3.471,0.003471,1000.0,0
ckks_h100_s1000_cold.log,SUMMARY,accepted_delta_count,100,1000,cold,172339.0,0.172339,172.339,0.172339,1000.0,0
ckks_h10_s1000_cold.log,CKKS,H_initial_device_planning,10,1000,cold,148718.0,0.148718,14.872,0.014872,10000.0,0
ckks_h10_s1000_cold.log,CKKS,H_encrypt_X_i,10,1000,cold,30844710.0,30.84471,3084.471,3.084471,10000.0,394865
ckks_h10_s1000_cold.log,CKKS,H_plan_compute,10,1000,cold,2957238.0,2.957238,26.823,0.026823,110250.0,0
ckks_h10_s1000_cold.log,CKKS,H_accept_compute,10,1000,cold,757.0,0.000757,0.031,3.1e-05,24630.0,0
ckks_h10_s1000_cold.log,CKKS,H_encrypt_delta_i,10,1000,cold,75028899.0,75.028899,3046.24,3.0462399999999996,24630.0,394865
ckks_h10_s1000_cold.log,CKKS,H_total_household_side,10,1000,cold,108980322.0,108.980322,108980.322,108.980322,1000.0,394865
ckks_h10_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,10,1000,cold,30961.0,0.030961,30.961,0.030961,1000.0,394865
ckks_h10_s1000_cold.log,CKKS,B_add_X_remaining,10,1000,cold,356367.0,0.356367,39.596,0.039596,9000.0,394865
ckks_h10_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,10,1000,cold,114380.0,0.11438,10.376,0.010376,11023.0,394865
ckks_h10_s1000_cold.log,CKKS,B_add_delta_remaining,10,1000,cold,517624.0,0.517624,38.041,0.038041,13607.0,394865
ckks_h10_s1000_cold.log,CKKS,B_total_aggregation,10,1000,cold,1019332.0,1.019332,1019.332,1.019332,1000.0,394865
ckks_h10_s1000_cold.log,CKKS,C_decrypt_X,10,1000,cold,870635.0,0.870635,870.635,0.8706349999999999,1000.0,0
ckks_h10_s1000_cold.log,CKKS,C_decrypt_delta,10,1000,cold,9254086.0,9.254086,839.525,0.839525,11023.0,0
ckks_h10_s1000_cold.log,CKKS,C_control_logic_until_convergence,10,1000,cold,641.0,0.000641,0.058,5.8e-05,11025.0,0
ckks_h10_s1000_cold.log,CKKS,C_total_decrypt_plus_control,10,1000,cold,10125362.0,10.125362,10125.362,10.125361999999999,1000.0,0
ckks_h10_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,10,1000,cold,120125016.0,120.125016,120125.016,120.125016,1000.0,394865
ckks_h10_s1000_cold.log,SUMMARY,total_iterations,10,1000,cold,11025.0,0.011025,11.025,0.011025,1000.0,0
ckks_h10_s1000_cold.log,SUMMARY,accepted_delta_count,10,1000,cold,24630.0,0.02463,24.63,0.02463,1000.0,0
ckks_h250_s1000_cold.log,CKKS,H_initial_device_planning,250,1000,cold,2908132.0,2.908132,11.633,0.011633,250000.0,0
ckks_h250_s1000_cold.log,CKKS,H_encrypt_X_i,250,1000,cold,766113223.0,766.113223,3064.453,3.064453,250000.0,394865
ckks_h250_s1000_cold.log,CKKS,H_plan_compute,250,1000,cold,14561724.0,14.561724,19.468,0.019468,748000.0,0
ckks_h250_s1000_cold.log,CKKS,H_accept_compute,250,1000,cold,35946.0,0.035946,0.085,8.5e-05,423485.0,0
ckks_h250_s1000_cold.log,CKKS,H_encrypt_delta_i,250,1000,cold,1296390667.0,1296.390667,3061.243,3.061243,423485.0,394865
ckks_h250_s1000_cold.log,CKKS,H_total_household_side,250,1000,cold,2080009692.0,2080.009692,2080009.692,2080.009692,1000.0,394865
ckks_h250_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,250,1000,cold,42516.0,0.042516,42.516,0.042516,1000.0,394865
ckks_h250_s1000_cold.log,CKKS,B_add_X_remaining,250,1000,cold,10475419.0,10.475419,42.07,0.04207,249000.0,394865
ckks_h250_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,250,1000,cold,122871.0,0.122871,41.067,0.041067,2992.0,394865
ckks_h250_s1000_cold.log,CKKS,B_add_delta_remaining,250,1000,cold,17676725.0,17.676725,42.038,0.042038,420493.0,394865
ckks_h250_s1000_cold.log,CKKS,B_total_aggregation,250,1000,cold,28317531.0,28.317531,28317.531,28.317531,1000.0,394865
ckks_h250_s1000_cold.log,CKKS,C_decrypt_X,250,1000,cold,882629.0,0.882629,882.629,0.882629,1000.0,0
ckks_h250_s1000_cold.log,CKKS,C_decrypt_delta,250,1000,cold,2642061.0,2.642061,883.042,0.883042,2992.0,0
ckks_h250_s1000_cold.log,CKKS,C_control_logic_until_convergence,250,1000,cold,15784.0,0.015784,5.275,0.005275,2992.0,0
ckks_h250_s1000_cold.log,CKKS,C_total_decrypt_plus_control,250,1000,cold,3540474.0,3.540474,3540.474,3.540474,1000.0,0
ckks_h250_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,250,1000,cold,2111867697.0,2111.867697,2111867.697,2111.867697,1000.0,394865
ckks_h250_s1000_cold.log,SUMMARY,total_iterations,250,1000,cold,2992.0,0.002992,2.992,0.002992,1000.0,0
ckks_h250_s1000_cold.log,SUMMARY,accepted_delta_count,250,1000,cold,423485.0,0.423485,423.485,0.423485,1000.0,0
ckks_h500_s1000_cold.log,CKKS,H_initial_device_planning,500,1000,cold,5578289.0,5.578289,11.157,0.011157,500000.0,0
ckks_h500_s1000_cold.log,CKKS,H_encrypt_X_i,500,1000,cold,1527099369.0,1527.099369,3054.199,3.054199,500000.0,394865
