source_file,scheme,metric,households,simulations,cache_mode,total_us,avg_us,count,cipher_bytes
bfv_h500_s1000_cold.log,BFV,B_add_X_remaining,500,1000,cold,27910373,55.933,499000,526449
bfv_h500_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,500,1000,cold,190699,65.872,2895,526449
bfv_h500_s1000_cold.log,BFV,B_add_delta_remaining,500,1000,cold,47543746,55.992,849121,526449
bfv_h500_s1000_cold.log,BFV,B_total_aggregation,500,1000,cold,75710363,75710.363,1000,526449
bfv_h500_s1000_cold.log,BFV,C_decrypt_X,500,1000,cold,1032955,1032.955,1000,0
bfv_h500_s1000_cold.log,BFV,C_decrypt_delta,500,1000,cold,2980198,1029.429,2895,0
bfv_h500_s1000_cold.log,BFV,C_control_logic_until_convergence,500,1000,cold,33923,11.718,2895,0
bfv_h500_s1000_cold.log,BFV,C_total_decrypt_plus_control,500,1000,cold,4047076,4047.076,1000,0
bfv_h500_s1000_cold.log,BFV,SIM_total_measured_H_B_C,500,1000,cold,3609377313,3609377.313,1000,526449
bfv_h500_s1000_cold.log,SUMMARY,total_iterations,500,1000,cold,2895,2.895,1000,0
bfv_h500_s1000_cold.log,SUMMARY,accepted_delta_count,500,1000,cold,852016,852.016,1000,0
bfv_h50_s1000_cold.log,BFV,H_initial_device_planning,50,1000,cold,623254,12.465,50000,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_X_i,50,1000,cold,130074695,2601.494,50000,526449
bfv_h50_s1000_cold.log,BFV,H_plan_compute,50,1000,cold,4776033,22.245,214700,0
bfv_h50_s1000_cold.log,BFV,H_accept_compute,50,1000,cold,3503,0.040,88029,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_delta_i,50,1000,cold,227788633,2587.654,88029,526449
bfv_h50_s1000_cold.log,BFV,H_total_household_side,50,1000,cold,363266118,363266.118,1000,526449
bfv_h50_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,50,1000,cold,65739,65.739,1000,526449
bfv_h50_s1000_cold.log,BFV,B_add_X_remaining,50,1000,cold,2721951,55.550,49000,526449
bfv_h50_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,50,1000,cold,155994,36.328,4294,526449
bfv_h50_s1000_cold.log,BFV,B_add_delta_remaining,50,1000,cold,4516195,53.934,83735,526449
bfv_h50_s1000_cold.log,BFV,B_total_aggregation,50,1000,cold,7459879,7459.879,1000,526449
bfv_h50_s1000_cold.log,BFV,C_decrypt_X,50,1000,cold,1033115,1033.115,1000,0
bfv_h50_s1000_cold.log,BFV,C_decrypt_delta,50,1000,cold,4350552,1013.170,4294,0
bfv_h50_s1000_cold.log,BFV,C_control_logic_until_convergence,50,1000,cold,3299,0.768,4294,0
bfv_h50_s1000_cold.log,BFV,C_total_decrypt_plus_control,50,1000,cold,5386966,5386.966,1000,0
bfv_h50_s1000_cold.log,BFV,SIM_total_measured_H_B_C,50,1000,cold,376112963,376112.963,1000,526449
bfv_h50_s1000_cold.log,SUMMARY,total_iterations,50,1000,cold,4294,4.294,1000,0
bfv_h50_s1000_cold.log,SUMMARY,accepted_delta_count,50,1000,cold,88029,88.029,1000,0
ckks_h1000_s1000_cold.log,CKKS,H_initial_device_planning,1000,1000,cold,11610036,11.610,1000000,0
ckks_h1000_s1000_cold.log,CKKS,H_encrypt_X_i,1000,1000,cold,3053404310,3053.404,1000000,394865
ckks_h1000_s1000_cold.log,CKKS,H_plan_compute,1000,1000,cold,52232397,19.042,2743000,0
ckks_h1000_s1000_cold.log,CKKS,H_accept_compute,1000,1000,cold,81097,0.048,1673262,0
ckks_h1000_s1000_cold.log,CKKS,H_encrypt_delta_i,1000,1000,cold,5102288466,3049.306,1673262,394865
ckks_h1000_s1000_cold.log,CKKS,H_total_household_side,1000,1000,cold,8219616306,8219616.306,1000,394865
ckks_h1000_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,1000,1000,cold,42190,42.190,1000,394865
ckks_h1000_s1000_cold.log,CKKS,B_add_X_remaining,1000,1000,cold,41971869,42.014,999000,394865
ckks_h1000_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,1000,1000,cold,109664,39.980,2743,394865
ckks_h1000_s1000_cold.log,CKKS,B_add_delta_remaining,1000,1000,cold,70776722,42.368,1670519,394865
ckks_h1000_s1000_cold.log,CKKS,B_total_aggregation,1000,1000,cold,112900445,112900.445,1000,394865
ckks_h1000_s1000_cold.log,CKKS,C_decrypt_X,1000,1000,cold,889382,889.382,1000,0
ckks_h1000_s1000_cold.log,CKKS,C_decrypt_delta,1000,1000,cold,2433960,887.335,2743,0
ckks_h1000_s1000_cold.log,CKKS,C_control_logic_until_convergence,1000,1000,cold,61927,22.576,2743,0
ckks_h1000_s1000_cold.log,CKKS,C_total_decrypt_plus_control,1000,1000,cold,3385269,3385.269,1000,0
ckks_h1000_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,1000,1000,cold,8335902020,8335902.020,1000,394865
ckks_h1000_s1000_cold.log,SUMMARY,total_iterations,1000,1000,cold,2743,2.743,1000,0
ckks_h1000_s1000_cold.log,SUMMARY,accepted_delta_count,1000,1000,cold,1673262,1673.262,1000,0
ckks_h100_s1000_cold.log,CKKS,H_initial_device_planning,100,1000,cold,1196133,11.961,100000,0
ckks_h100_s1000_cold.log,CKKS,H_encrypt_X_i,100,1000,cold,306092034,3060.920,100000,394865
ckks_h100_s1000_cold.log,CKKS,H_plan_compute,100,1000,cold,7096155,20.444,347100,0
ckks_h100_s1000_cold.log,CKKS,H_accept_compute,100,1000,cold,10628,0.062,172339,0
ckks_h100_s1000_cold.log,CKKS,H_encrypt_delta_i,100,1000,cold,526328194,3054.028,172339,394865
ckks_h100_s1000_cold.log,CKKS,H_total_household_side,100,1000,cold,840723144,840723.144,1000,394865
ckks_h100_s1000_cold.log,CKKS,B_init_X_from_first_ciphertext,100,1000,cold,43345,43.345,1000,394865
ckks_h100_s1000_cold.log,CKKS,B_add_X_remaining,100,1000,cold,4123795,41.654,99000,394865
ckks_h100_s1000_cold.log,CKKS,B_init_delta_from_first_ciphertext,100,1000,cold,107851,31.072,3471,394865
ckks_h100_s1000_cold.log,CKKS,B_add_delta_remaining,100,1000,cold,6952558,41.172,168868,394865
ckks_h100_s1000_cold.log,CKKS,B_total_aggregation,100,1000,cold,11227549,11227.549,1000,394865
ckks_h100_s1000_cold.log,CKKS,C_decrypt_X,100,1000,cold,874779,874.779,1000,0
ckks_h100_s1000_cold.log,CKKS,C_decrypt_delta,100,1000,cold,3022511,870.790,3471,0
ckks_h100_s1000_cold.log,CKKS,C_control_logic_until_convergence,100,1000,cold,6164,1.776,3471,0
ckks_h100_s1000_cold.log,CKKS,C_total_decrypt_plus_control,100,1000,cold,3903454,3903.454,1000,0
ckks_h100_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,100,1000,cold,855854147,855854.147,1000,394865
ckks_h100_s1000_cold.log,SUMMARY,total_iterations,100,1000,cold,3471,3.471,1000,0
ckks_h100_s1000_cold.log,SUMMARY,accepted_delta_count,100,1000,cold,172339,172.339,1000,0
ckks_h10_s1000_cold.log,CKKS,H_initial_device_planning,10,1000,cold,148718,14.872,10000,0
ckks_h10_s1000_cold.log,CKKS,H_encrypt_X_i,10,1000,cold,30844710,3084.471,10000,394865
